01B4 1014
0188 16E4
2008 11BD
0EF9 1A93
0DEA 0769
0240 0867
024D 0949
037F 078E
00A2 098A
1E16 1C92
0BFA 33EC
0445 1F66
0B53 0BAD
0C18 0760
0424 02A3
36D7 03CD
01C1 03CC
0EF1 02F8
20ED 0052
64B0 0CD0
049D 050F
0694 0B7D
07FA 06DE
060D 2125
0091 0CD9
1371 0F6E
000D 07E7
0221 0BE3
2566 1339
5A87 0E41
00F9 1187
0692 03FA
007D 1183
24B2 025A
0074 01F7
1030 0EDD
2919 04A4
0AA9 033C
05A4 1C8B
30FF 1268
05BF 080F
00DA 222E
0BC2 16DE
07E0 0A33
0081 29BF
0A58 07DE
0BBC 4E49
0D75 0881
0679 1205
0ADA 15E3
0629 0463
11DE 0B8B
00B4 C8C3
08A1 3D44
0927 1FA5
01EE 0F7A
084D 08FD
38D8 0C50
1A7C 13A9
0935 1431
076A 077F
1D48 2A0C
33BA 5297
1C29 12D3
0450 0BF7
1F1A 057A
0159 143A
01C1 13FC
091E 04FC
10AD 0758
019F 1375
05D3 181D
0644 07E6
1DC3 28BB
0BBA 1262
0C01 03BC
1595 097F
0663 104C
1043 000F
07C2 1DC0
0B5B 0B63
03AB 07A3
0DF5 07A5
07BD 0241
0619 1427
05D9 3F9D
11AE 199A
0360 0316
2F44 14E2
0242 0D3D
0DF0 034B
0654 13D1
1493 03EE
0202 04B4
02D5 003B
0563 0425
0754 0417
0D57 11F5
0CE2 0874
18DD 010E
0971 02F3
2F94 0122
053E 01A2
098D 0B61
38B7 0FD8
250A 0266
0394 26AD
1427 57F3
0536 199F
104A 0CEC
2A96 052A
027D 01ED
091C 04BE
0A36 06B8
0E56 00BE
057C 067C
012F 0D61
114C 0FEA
045D 11B2
05F8 11C9
10D5 0493
0640 0727
1105 243F
23C1 0E3A
0087 1CBA
0736 1884
0B01 2EE5
492E 1636
2BFE 09D6
0BE6 0663
0883 095E
0567 0398
1A0A 0808
03B0 3029
0BBE 205A
0DC6 282F
051D 05AA
0405 0AAF
05A5 0965
0499 2808
0C25 0125
14BE 106F
03FE 02B1
0138 011C
0CBA 06B5
028D 0F82
1784 0D3D
0A09 0059
06DF 1489
00EE 14E7
1254 085F
1A86 1FA2
1756 0F56
1126 29F4
21FF 2FD6
009D 0737
22C5 0047
11EC 03F6
13F0 00E2
0392 0CB8
00EF 0522
17A3 2596
0ED4 09E5
0289 088D
04BE 0126
0282 407E
3627 1138
0F76 121F
0063 05B7
0037 02B4
2521 179E
1573 09AA
13F0 0AAA
05A8 0943
021A 1772
085C 072F
07B6 002F
1AD3 100C
1B28 0AD2
1E15 0B32
038F 07E9
0416 017C
2423 376C
1BF9 42C7
04E0 3A63
2B36 1507
0527 20AD
0FF5 172B
2090 0B94
0906 01AD
02B0 1EC7
12BD 1C7A
1155 15A7
1D06 09FD
0A15 374A
19F2 1422
0319 0047
0A9A 1403
1B96 064D
0664 23CB
011A 0955
3B7F 1CC4
0AD1 3CF8
0292 15D9
021C 0ADB
0E57 06E8
1014 10D4
126C 055B
1870 5985
02A4 1E4A
02F0 01F9
07FA 2BCE
1E9B 00F8
0FBB 03DB
2223 1D7F
0C81 14EA
0A4E 03F1
023A 0593
279A 00D0
0068 04B2
0D9A 20BE
0B8D 0AB4
0057 0175
0725 24AF
156D 1195
0252 1A2B
1771 0144
0E79 2AFB
1E5B 01A9
0FA4 14B4
0958 15A1
18D5 00C0
0F14 0214
0237 0F18
0602 05B8
0B65 0BAE
04FE 07B7
1486 0500
01D0 0CAD
2964 0AFD
07C6 0306
17FD 12E7
0478 00E0
0052 2C50
174F 1123
21DF 100E
06BA 070A
017F 0E82
02B4 035F
440E 0549
1852 0A4C
14DA 08C2
0B8A 0033
0279 02AD
4492 087D
1E4F 05A2
0F8F 090F
0BC5 0522
0631 18F6
1E20 097F
089E 0828
2F3F 038D
191F 099B
000C 00E7
07C3 1DA9
27D6 171A
180C 202E
053F 13DA
1730 0B46
0A69 0CA1
0A96 368B
1A30 1949
0D4A 0108
25DC 0002
0D8B 003A
03BC 0BE0
0A1D 010F
17D2 0C6B
111B 2106
07AA 1A4A
06F7 0342
104E 0547
0073 07EE
0E76 1656
073C 0328
0BE3 2761
007B 05D3
108F 0F9E
024B 21D2
09D7 01C9
0128 0467
19CB 0062
15C6 06BD
10D0 0003
067F 1A52
0C2B 0502
2FD7 0ABB
0F2C 0031
0BC1 02D8
0559 122E
0721 0030
1E91 0785
2934 1EF1
1F41 04D5
1681 0EC1
25E5 130A
0176 0BA8
0EC6 03BF
004B 0D5A
0620 18C4
1F72 0D7A
01A4 0105
00E2 134D
0801 0410
1FA3 4C7B
06FC 0764
1EB9 11B2
149D 120E
119B 0836
0A03 2289
1396 06E8
00ED 01DE
0873 1FF4
015A 07C7
0BC0 0019
2BDB 0E76
12D3 1124
019E 2CD1
0B86 0E08
1575 00F2
31EB 2D59
090C 0FFA
0608 01E6
052E 20F2
179D 004F
11B5 04C3
0ECD 071A
04AD 04D7
0888 1A34
4256 1319
0B99 015E
014D 3639
0279 0F9D
049D 03CD
01AA 0269
0367 3B3E
128A 1757
0244 06D0
09BB 1231
12E1 170B
09BF 032B
04C3 18A6
027F 08F6
1090 07EF
077A 0B8A
0469 1762
0F34 2188
172A 05CE
05B8 04BD
0176 1377
026C 177E
0367 0D95
3030 1997
005E 01EB
0F0D 04C4
24F0 0386
0EC8 0EB1
14F7 0977
1AF1 07A8
0481 0F5A
001A 15D9
1B66 08D0
06DF 04CC
1099 051C
09A9 3BB5
1BC8 092B
040E 017A
05AF 0298
10D3 0E2D
15E3 0B6F
03A8 0597
0737 04BE
16AC 1637
109D 0932
1984 04D4
0ECF 0002
1CCD 1B10
25FF 216F
0264 1117
035E 0720
028D 0A37
2C6D 005B
0805 13B8
11AE 17DA
3636 0255
169D 0C14
