0153A7AB 00B52719
001A5B05 0164DF85
000BA778 01131E10
004C4C35 0205D0A9
00170C70 0083030D
02C4F19E 0001E939
00B0DFE1 001135FF
057FA65D 0097D9BE
002875BC 00AD3B76
0065AEDB 013D42E9
0172AA51 004ACEDD
004D6A38 00B2A4F6
0266893C 015914B9
002A8DEC 004C66C4
012949A2 0077452A
00F945FD 0146FFB0
01ADB6F1 00644C9C
005A9121 00AF0DA8
01582BC6 00AC6EA6
01BAD7AA 0135BF7D
00150F9B 00AC2AA7
02DD8BB0 00308783
00CA3C11 04464F7F
002FFF37 00F513D2
020317D9 005F8352
02B7A853 00312380
01319E0E 00AE91FE
0252B3CC 008F854B
0076FDC8 0044F9AC
0311F917 01389918
036D9F45 00308636
000C9BA9 0040D485
0053FD4C 0076F87F
003D3E7B 00D830F1
001E4123 01308AD8
0025AC34 00165DC9
01DEBAF6 00F82767
00CDB0AB 005242F4
008170AF 00695946
00B2F0BF 00B6186A
02423680 0026B0D5
00F3F8D2 0017891A
005D1481 02D187AF
02A14512 0045DB7F
0090CEC6 007F961A
00CF3240 0060EF8D
0101E0A4 00F62151
01C7022D 0021E78B
01D58850 00770230
0001D3AF 007102E0
0057497B 006A1A51
00930DDD 00B0A6D9
00A2540C 02E3D80E
00140E20 0096BC85
005A1AAD 01308309
043031EB 0047B3FA
00BE7E98 0042064F
01995B54 00D00FD5
002013D8 0061DDF8
00603BDF 01CEDFCB
00C1CB31 002CA233
01BC245D 015C74AF
02509FAF 008003AB
00F62781 0011369A
0055FB3C 0043A7D6
006E9192 008C62F3
00457969 00D62702
005DFD54 0346225D
00C81F0D 00B66D6C
0136B856 0029D914
00617334 0027B20B
00E7B2B1 025E0FFB
012DFD74 0070E6DE
000723D8 0083E072
005912EB 0144859C
00327737 00684DFF
00B319C8 03C12ED2
003A5DF2 002A6E5A
00AF194B 0140C5BF
0179F834 0086A7C7
018A6927 01CC798F
00DE08C9 00988468
016817C6 008D3D14
059199A0 0022BF2B
0235EE49 00C61EFB
01404F9F 03CBCEF7
00B7DEB8 026CF935
000E0A77 00FEAEE3
008C2C7A 0112CDA1
002D9A00 00156F6D
00AAC6C9 000DB945
00B0234F 00B658FB
00531C70 004389C1
02007B8E 0055A4A4
019B65D8 006AF922
007755E1 011DFFA1
02939CAC 001FE4C0
02277240 001710AF
000FC21F 01675D4F
009BE2D0 02356F18
0105ECFB 010C2723
008926F4 003720DC
01A4DA4F 00CEDDBE
00FE97C9 01119BB9
0076F414 00D9713C
00756E33 02A4D100
01ED5F46 0080BE7B
009E765B 0134819E
00F06B5C 00100618
00D551AA 00FC39A1
0007E7C8 00965BAA
000F1845 02729351
0120FFD7 008486E0
019B99BF 028416F7
04632A04 00B023C2
01AB392E 01531A0F
01306E05 00240200
005B8441 00348EE3
001CACFB 007AA93F
01835EB5 00EF2F05
01104B60 001EFDC6
0026210E 005D099B
002DD17D 01EF78E2
04639539 00645377
000C8A37 0044A163
04E223E1 010F7E37
00FC81B4 02395638
014EB5F7 00512C60
00228055 004A114E
018F4CA2 0122FC14
005D9DFC 00574E7B
00FAFC24 0119FA2B
0082F326 0099D0B8
0003E0F9 023EC76A
0109D66A 00639A6C
007F8491 01F78436
010E4263 01A68F5D
0099EA6B 00953055
011CA03B 0027C9FE
0010169B 007C9654
000FD9FC 008A26CA
002AA525 0128FE50
00C9BB71 00A9F365
013EB0D0 00037E3B
00F7344A 04AFDC86
001375E0 0121C960
01AD6783 0066F77D
00253300 03000A48
013DA3A9 009E2F7A
00032BFB 01E06506
00B902F6 00B99A55
040B10C4 016A3ADA
00073C14 00546038
02301431 0043ECC5
00607DE8 0037B36A
013EC434 0040FA05
00E6977D 0061E2F5
01177170 00C1B4F6
00413F06 007C410F
00890371 029E673F
0392A44D 005ECDE9
015512AA 043E7951
00650732 01E23575
002DA638 0075E9FC
00642A62 001741A2
0062A5C7 003AE288
0241C054 00D807B9
00A3D20B 0158E864
0093526E 003B6533
00458669 005D0FCE
00E5FB24 014EB71B
01B4CBBA 01243E3F
024498C6 0082466D
0080290A 00506B8D
00C05B16 002ECFDA
077D59B9 00FF0BCF
00BA6BF9 00757AC4
001C3FE8 0035DA86
0266451E 02D7EA76
010D7F30 000C5343
01172B67 006F783D
00080E8E 004C6856
0050669E 011AB963
00D136B6 00AA76AD
00688C8D 00DE1144
0053102B 0391A5C3
019A3C83 013479CC
012788F1 001FEBCF
01508EE1 0027589B
005C344E 0104ED6F
02D4FC3C 00E1EC83
0099D97F 00583349
00D49EBB 002E1D67
00D3C8C9 01288359
00C3C7BF 014B1BC6
004C6EA0 005DF428
00B01049 00831F63
0292D403 028E6712
0099F535 0018B745
0107676C 00BACA73
00B998ED 023928B7
032C00C9 00DD4AB4
004B45B0 03CB2B11
002765AC 017020F3
02746CB0 009669BE
01B1D901 0017B776
00277DA7 00ADFD83
00F39BA8 002B030C
011606CB 004C99F3
001F3AD3 02B791E8
007A4B67 00A39EB7
0010932C 006B2635
00631065 0027B606
00F6890B 027643BE
00C4EFB7 00E31A7D
0183CEEC 0094F718
0073C843 01C8A8F3
00C31EA9 01148255
0051CD8B 000E1630
00DC8BFB 00867199
01262502 009A30B6
00762BFE 002B4F81
00CE952E 0037D842
025DD3D9 0084C325
01294E3C 000A0EC6
021F0F8B 0130FDDD
004FD54A 009FC2BD
001B546E 01F63F44
007FA66B 015CF69B
00D32168 000D844E
0108FDD0 0599059B
00063416 00449377
00180FB3 00380FD5
0096E5AE 0295B850
01A81B11 00A9AF45
0041D0A0 0087322E
0125EC2F 00D98D9A
00F6F2BD 019C08DE
001EFA5E 00ADE26E
0123986C 00443321
01368168 00EAD7DA
00EDB114 00395108
0337B14F 0074FA8A
00AB76D9 0032FF89
021A7491 03E9B103
0042B95D 023FA57C
