experiment,multiplier,bits,distribution,MAE,NMED,MRED,EP,MSE
approx_modified_radix_compressor_8bit,approx_mod_radix_comp,8,default,1017.5775756835938,0.01564902077175846,0.3914999083113412,0.3150482177734375,37546933.0
approx_modified_radix4_8bit,approx_modified,8,default,31.875,0.0004901960784313725,0.0060023561583064464,0.2490234375,5429.375
approx_radix4_booth_8bit,approx_radix4,8,default,31.875,0.0004901960784313725,0.0060023561583064464,0.2490234375,5429.375
approx_radix4_LOA_8bit,approx_radix4_LOA,8,default,3.312255859375,5.093819084006151e-05,0.8406479294919221,0.2109375,131065.0
approx_radix_compressor_8bit,approx_radix_comp,8,default,1017.5775756835938,0.01564902077175846,0.3914999083113412,0.3150482177734375,37546933.0
compressor42_8bit,compressor,8,default,0.0,0.0,0.0,0.0,0.0
modified_radix4_8bit,modified,8,default,0.0,0.0,0.0,0.0,0.0
ppp_approx_radix4_8bit,ppp_approx,8,default,127.5,0.00196078431372549,0.02536852179317248,0.7470703125,32576.25
ppp_modified_radix4_8bit,ppp_modified,8,default,127.5,0.00196078431372549,0.02536852179317248,0.7470703125,32576.25
radix4_8bit,radix,8,default,0.0,0.0,0.0,0.0,0.0
radix4_compressor_8bit,radix4_compressor,8,default,0.0,0.0,0.0,0.0,0.0
exact_8bit_simple,simple,8,default,0.0,0.0,0.0,0.0,0.0
approx_modified_radix_compressor_16bit_exponential,approx_mod_radix_comp,16,exponential,366505226.87795717,0.08533625211237413,83.5711374312937,0.6647142857142857,1.4890397421445875e+18
approx_modified_radix4_16bit_exponential,approx_modified,16,exponential,9290.207214285714,2.1631109377833643e-06,0.0010433575928153523,0.44198571428571426,503809421.89984286
approx_radix4_booth_16bit_exponential,approx_radix4,16,exponential,9290.207214285714,2.1631109377833643e-06,0.0010433575928153523,0.44198571428571426,503809421.89984286
approx_radix4_LOA_16bit_exponential,approx_radix4_LOA,16,exponential,77.31114285714285,1.8000952494327735e-08,5.751044170171303e-05,0.7538428571428571,11486.701485714286
approx_radix_compressor_16bit_exponential,approx_radix_comp,16,exponential,366505226.87795717,0.08533625211237413,83.5711374312937,0.6647142857142857,1.4890397421445875e+18
compressor42_16bit_exponential,compressor,16,exponential,0.0,0.0,0.0,0.0,0.0
modified_radix4_16bit_exponential,modified,16,exponential,0.0,0.0,0.0,0.0,0.0
ppp_approx_radix4_16bit_exponential,ppp_approx,16,exponential,32990.92731428571,7.681533261326096e-06,0.004136149948159485,0.9402142857142857,2900345041.651914
ppp_modified_radix4_16bit_exponential,ppp_modified,16,exponential,32990.92731428571,7.681533261326096e-06,0.004136149948159485,0.9402142857142857,2900345041.651914
radix4_16bit_exponential,radix,16,exponential,0.0,0.0,0.0,0.0,0.0
radix4_compressor_16bit_exponential,radix4_compressor,16,exponential,0.0,0.0,0.0,0.0,0.0
exact_16bit_simple_exponential,simple,16,exponential,0.0,0.0,0.0,0.0,0.0
approx_modified_radix_compressor_16bit_normal,approx_mod_radix_comp,16,normal,195694416.46034285,0.04556504746821699,0.24030472472931053,0.7735,3.96649951818892e+17
approx_modified_radix4_16bit_normal,approx_modified,16,normal,36831.92682857143,8.575862943079146e-06,3.738131743277735e-05,0.4372714285714286,4285091901.1082
approx_radix4_booth_16bit_normal,approx_radix4,16,normal,36831.92682857143,8.575862943079146e-06,3.738131743277735e-05,0.4372714285714286,4285091901.1082
approx_radix4_LOA_16bit_normal,approx_radix4_LOA,16,normal,77.01342857142858,1.7931633370124278e-08,8.37135953550384e-08,0.7508714285714285,11449.250057142857
approx_radix_compressor_16bit_normal,approx_radix_comp,16,normal,195694416.46034285,0.04556504746821699,0.24030472472931053,0.7735,3.96649951818892e+17
compressor42_16bit_normal,compressor,16,normal,0.0,0.0,0.0,0.0,0.0
modified_radix4_16bit_normal,modified,16,normal,0.0,0.0,0.0,0.0,0.0
ppp_approx_radix4_16bit_normal,ppp_approx,16,normal,131372.6415,3.058851015908063e-05,0.00013271181514613588,0.9371857142857143,24644101803.552643
ppp_modified_radix4_16bit_normal,ppp_modified,16,normal,131372.6415,3.058851015908063e-05,0.00013271181514613588,0.9371857142857143,24644101803.552643
radix4_16bit_normal,radix,16,normal,0.0,0.0,0.0,0.0,0.0
